replication,scenario,liters,operation_h,pause_h,monitored_h,efficiency
17,s2_tpm,243818.85828549234,119.60468717694842,118.82943976749583,238.43412694444424,0.501625705639095
17,s3_integrated,268797.3184355453,131.10649766441819,107.3276292800261,238.43412694444424,0.5498646495976071
18,baseline,221115.87547964923,109.2396261111111,141.96547083333323,251.20509694444434,0.4348622995307701
18,s1_5s_visual,226294.84552025254,111.38849643802038,139.81660050642395,251.20509694444434,0.4434165460530233
18,s2_tpm,259185.1227995278,127.82689208115588,123.37820486328837,251.20509694444434,0.5088546913895845
18,s3_integrated,282476.17650084617,138.27613858385502,112.92895836058925,251.20509694444434,0.5504511662613107
19,baseline,204034.97095606304,100.76706805555544,133.06016361111108,233.82723166666653,0.43094667518967333
19,s1_5s_visual,207843.38329749115,102.37097230654298,131.45625936012354,233.82723166666653,0.4378060313029681
19,s2_tpm,247419.8158221723,122.04116683662247,111.786064830044,233.82723166666653,0.5219288017342599
19,s3_integrated,270292.7331441456,132.2090703877496,101.6181612789169,233.82723166666653,0.565413486895405
20,baseline,208448.59408998874,101.95378999999997,142.66223916666658,244.61602916666644,0.41679112504330157
20,s1_5s_visual,212676.2997880447,103.82975785536513,140.78627131130133,244.61602916666644,0.42446015581677954
20,s2_tpm,253797.432140511,122.92353436981273,121.69249479685377,244.61602916666644,0.5025162692264133
20,s3_integrated,276844.6696619391,133.29145721806069,111.32457194860581,244.61602916666644,0.5449007478052226
21,baseline,216957.61415499315,102.8689041666667,149.15600749999982,252.02491166666655,0.4081695872300246
21,s1_5s_visual,221584.3907695686,104.74771723415664,147.27719443250987,252.02491166666655,0.41562445768336653
21,s2_tpm,266141.215397832,125.0053980804902,127.01951358617627,252.02491166666655,0.496004134090621
21,s3_integrated,292663.64420116297,136.47570851193439,115.54920315473218,252.02491166666655,0.5415167397913426
22,baseline,194193.49188619576,92.8386458333333,127.5358238888888,220.3744697222221,0.42127677471149305
22,s1_5s_visual,197940.69802264674,94.37874078037447,125.99572894184767,220.3744697222221,0.42826531085627617
22,s2_tpm,236248.6244502042,111.98673958700374,108.3877301352183,220.3744697222221,0.5081656678659779
22,s3_integrated,258624.45840340658,121.83419491560036,98.54027480662172,220.3744697222221,0.552850768372444
23,baseline,215472.6252493532,103.65624250000003,148.44517833333316,252.10142083333318,0.4111688151433634
23,s1_5s_visual,221416.56570108506,106.2673913595044,145.83402947382876,252.10142083333318,0.42152634843640513
23,s2_tpm,261674.77105085243,125.69208821214997,126.40933262118314,252.10142083333318,0.49857746853099366
23,s3_integrated,287998.6479367258,137.69560941287335,114.40581142045978,252.10142083333318,0.5461913263230092
24,baseline,186232.61814180558,94.77526888888882,115.59117333333326,210.3664422222221,0.4505246553952378
24,s1_5s_visual,190694.74625928965,96.72870781738038,113.6377344048417,210.3664422222221,0.4598105420027036
24,s2_tpm,221220.5024296485,111.71590901581183,98.65053320641019,210.3664422222221,0.5310538498236327
24,s3_integrated,240938.04397194786,120.8701664311509,89.49627579107117,210.3664422222221,0.5745696183969724
25,baseline,197041.49829347245,97.21607388888891,133.72617111111094,230.94224499999993,0.4209540523384491
25,s1_5s_visual,200921.52955342532,98.93823873091812,132.00400626908174,230.94224499999993,0.4284111758371369
25,s2_tpm,239218.5021295607,117.06653036697583,113.87571463302402,230.94224499999993,0.5069082547758894
25,s3_integrated,262479.58605699375,127.41151807970219,103.53072692029761,230.94224499999993,0.5517029510114194
26,baseline,215834.2360623999,105.10683805555547,135.8998933333333,241.00673138888874,0.4361157775545902
26,s1_5s_visual,220724.5708209681,107.21779481575832,133.78893657313043,241.00673138888874,0.4448746895901076
